Entity,Finding,Notice of Proposed Rulemaking,Final Rule,Rescinded
ABLV Bank,,https://www.fincen.gov/sites/default/files/federal_register_notices/2018-02-16/2018-03214.pdf,,https://www.federalregister.gov/public-inspection/2024-22299/special-measure-against-ablv-bank-as-as-a-financial-institution-of-primary-money-laundering-concern
Al-Huda Bank,,https://www.federalregister.gov/documents/2024/01/31/2024-02004/proposal-of-special-measure-regarding-al-huda-bank-as-a-foreign-financial-institution-of-primary,https://www.federalregister.gov/documents/2024/07/03/2024-14415/imposition-of-special-measure-regarding-al-huda-bank-as-a-financial-institution-of-primary-money,
Asia Wealth Bank,,https://www.fincen.gov/sites/default/files/shared/311_burmese_banks.pdf,https://www.fincen.gov/sites/default/files/shared/mayflowerbank.pdf,https://www.fincen.gov/sites/default/files/shared/2012-23995.pdf
Banca Privada d’Andorra,https://www.fincen.gov/sites/default/files/shared/BPA_NOF.pdf,https://www.fincen.gov/sites/default/files/shared/BPA_NPRM.pdf,,https://www.fincen.gov/sites/default/files/shared/BPA_Withdrawal_Finding.pdf
Banco Delta Asia,https://www.fincen.gov/sites/default/files/shared/finding_banco.pdf,https://www.fincen.gov/sites/default/files/shared/notice_banco.pdf,https://www.fincen.gov/sites/default/files/shared/bda_final_rule.pdf,https://www.govinfo.gov/content/pkg/FR-2020-08-10/pdf/2020-17144.pdf
Bank of Dandong,,https://www.fincen.gov/sites/default/files/federal_register_notices/2017-07-07/2017-14026.pdf,https://www.fincen.gov/sites/default/files/federal_register_notices/2017-11-08/Dandong%20Final%202017-24238.pdf,
Burma****,,https://www.fincen.gov/sites/default/files/shared/311_burma_nprm.pdf,https://www.fincen.gov/sites/default/files/shared/burma.pdf,
Bitzlato,,,https://www.federalregister.gov/documents/2023/01/23/2023-01189/imposition-of-special-measure-prohibiting-the-transmittal-of-funds-involving-bitzlato,
Commercial Bank of Syria (Includes Syrian Lebanese Commercial Bank),,https://www.fincen.gov/sites/default/files/shared/311syrianprm.pdf,https://www.fincen.gov/sites/default/files/shared/noticeoffinalrule03152006.pdf,
Convertible Virtual Currency Mixing,,https://www.federalregister.gov/public-inspection/2023-23449/proposal-of-special-measure-regarding-convertible-virtual-currency-mixing-as-a-class-of-transactions,,
Democratic People’s Republic of Korea,https://www.fincen.gov/sites/default/files/shared/2016-13038(DPRK_Finding).pdf,https://www.fincen.gov/sites/default/files/shared/2016-13037(DPRK_NPRM).pdf,https://www.fincen.gov/sites/default/files/shared/2016-27049.pdf,
FBME Bank Ltd.,https://www.fincen.gov/sites/default/files/shared/FBME_NOF.pdf,https://www.fincen.gov/sites/default/files/shared/FBME_NPRM.pdf,https://www.fincen.gov/sites/default/files/shared/FBME_FR_20160325.pdf,
First Merchant Bank OSH Ltd.,,https://www.fincen.gov/sites/default/files/shared/waisgate1.pdf,---,https://www.fincen.gov/sites/default/files/shared/Section311_WithdrawalFMB.pdf
First Merchant Finance Ltd.,,https://www.fincen.gov/sites/default/files/shared/waisgate1.pdf,---,https://www.fincen.gov/sites/default/files/shared/Section311_WithdrawalFMB.pdf
First Merchant International Inc.,,https://www.fincen.gov/sites/default/files/shared/waisgate1.pdf,---,https://www.fincen.gov/sites/default/files/shared/Section311_WithdrawalFMB.pdf
First Merchant Trust Ltd.,,https://www.fincen.gov/sites/default/files/shared/waisgate1.pdf,---,https://www.fincen.gov/sites/default/files/shared/Section311_WithdrawalFMB.pdf
FMB Finance Ltd.,,https://www.fincen.gov/sites/default/files/shared/waisgate1.pdf,---,https://www.fincen.gov/sites/default/files/shared/Section311_WithdrawalFMB.pdf
Halawi Exchange Co.,https://www.fincen.gov/sites/default/files/shared/311--ExchHouse-H-NoticeofFindingFinal.pdf,https://www.fincen.gov/sites/default/files/shared/311--ExchHouse-H-NPRMFinal.pdf,---,
Infobank (Includes Belmetalnergo); renamed Trustbank ***,,https://www.fincen.gov/sites/default/files/shared/waisgate3.pdf,---,http://www.gpo.gov/fdsys/pkg/FR-2014-12-15/pdf/2014-29339.pdf
Islamic Republic of Iran,http://www.gpo.gov/fdsys/pkg/FR-2011-11-25/pdf/2011-30332.pdf,http://www.gpo.gov/fdsys/pkg/FR-2011-11-28/pdf/2011-30331.pdf,https://www.fincen.gov/sites/default/files/shared/2019-23697.pdf,---
JSC CredexBank,http://www.gpo.gov/fdsys/pkg/FR-2012-05-25/pdf/2012-12742.pdf,http://www.gpo.gov/fdsys/pkg/FR-2012-05-30/pdf/2012-12747.pdf,---,https://www.fincen.gov/sites/default/files/shared/JSC_Withdrawal_Finding.pdf
Kassem Rmeiti & Co. For Exchange,https://www.fincen.gov/sites/default/files/shared/311--ExchHouse-R-NoticeofFinding-Final.pdf,https://www.fincen.gov/sites/default/files/shared/311--ExchHouse-R-NPRMFinal.pdf,---,---
Liberty Reserve S.A,https://www.fincen.gov/sites/default/files/shared/311--LR-NoticeofFinding-Final.pdf,https://www.fincen.gov/sites/default/files/shared/311--LR-NPRM-Final.pdf,,https://www.fincen.gov/sites/default/files/shared/Withdrawal_LR.pdf
